exp-den, med, rw, budget, mod
2660, 3765, 1628, 10, 2660
3100, 3866, 2347, 20, 3100
3272, 3893, 2419, 30, 3392
3667, 3968, 2972, 40, 3622
3824, 4159, 3075, 50, 3755
3857, 4239, 3299, 60, 3822
3967, 4279, 3709, 70, 3908
4316, 4367, 3821, 80, 3977
4570, 4400, 3888, 90, 4001
4585, 4659, 4029, 100, 4009
4594, 4701, 4083, 110, 4036
4760, 4709, 4107, 120, 4042
4769, 4797, 4161, 130, 4044
4796, 4799, 4181, 140, 4046
4813, 4800, 4243, 150, 4048
4818, 4807, 4251, 160, 4052
4823, 4807, 4257, 170, 4053
4824, 4810, 4261, 180, 4053
4825, 4811, 4262, 190, 4058
4831, 4812, 4264, 200, 4058
4840, 4817, 4276, 210, 4061
4863, 4821, 4276, 220, 4063
4866, 4823, 4276, 230, 4066
4867, 4823, 4345, 240, 4067
4867, 4830, 4346, 250, 4068
4867, 4907, 4346, 260, 4068
4877, 4907, 4346, 270, 4069
4878, 4910, 4348, 280, 4070
4878, 4910, 4351, 290, 4072
4879, 4915, 4368, 300, 4072
4880, 4917, 4447, 310, 4073
4880, 4917, 4694, 320, 4073
4880, 4923, 4708, 330, 4073
4881, 4927, 4712, 340, 4073
4883, 4929, 4726, 350, 4087
4884, 4929, 4732, 360, 4089
4889, 4930, 4737, 370, 4089
4893, 4930, 4737, 380, 4089
4894, 4931, 4737, 390, 4089
4902, 4949, 4737, 400, 4090
4902, 4950, 4738, 410, 4090
4906, 4950, 4739, 420, 4115
4910, 4951, 4742, 430, 4115
4912, 4951, 4742, 440, 4125
4913, 4951, 4742, 450, 4125
4914, 4951, 4750, 460, 4303
4917, 4952, 4751, 470, 4303
4918, 4952, 4755, 480, 4323
4918, 4952, 4764, 490, 4341
1170, 3617, 1340, 10, 1170
1793, 3739, 1923, 20, 1800
2023, 3767, 3193, 30, 1918
2415, 3907, 3243, 40, 2037
2546, 4147, 3374, 50, 2058
2906, 4226, 3423, 60, 2366
3087, 4265, 3728, 70, 2401
3394, 4352, 3867, 80, 2412
3765, 4386, 3968, 90, 2427
3814, 4651, 3979, 100, 2439
3929, 4696, 3987, 110, 2466
3975, 4704, 4065, 120, 2469
4039, 4793, 4098, 130, 2487
4138, 4795, 4148, 140, 2531
4338, 4800, 4191, 150, 2625
4383, 4807, 4205, 160, 2792
4450, 4807, 4214, 170, 3016
4485, 4810, 4225, 180, 3016
4512, 4811, 4240, 190, 3018
4547, 4812, 4251, 200, 3018
4558, 4817, 4259, 210, 3023
4634, 4821, 4268, 220, 3026
4821, 4822, 4289, 230, 3087
4824, 4823, 4295, 240, 3088
4829, 4827, 4299, 250, 3090
4832, 4907, 4301, 260, 3155
4834, 4907, 4303, 270, 3234
4842, 4907, 4304, 280, 3251
4844, 4910, 4305, 290, 3259
4848, 4915, 4312, 300, 3466
4853, 4917, 4319, 310, 3469
4857, 4917, 4385, 320, 3630
4889, 4923, 4456, 330, 3669
4889, 4927, 4484, 340, 3674
4890, 4929, 4485, 350, 3678
4892, 4929, 4600, 360, 3693
4892, 4930, 4614, 370, 3697
4893, 4930, 4618, 380, 3856
4893, 4930, 4632, 390, 3856
4894, 4949, 4632, 400, 3887
4896, 4950, 4638, 410, 3906
4897, 4950, 4646, 420, 3952
4902, 4951, 4652, 430, 4105
4904, 4951, 4677, 440, 4191
4905, 4951, 4682, 450, 4200
4910, 4951, 4684, 460, 4210
4912, 4952, 4684, 470, 4235
4913, 4952, 4684, 480, 4291
4913, 4952, 4686, 490, 4308
723, 3633, 1764, 10, 639
1764, 3756, 2410, 20, 1647
2540, 3784, 2804, 30, 1688
3179, 3919, 2902, 40, 1770
3340, 4151, 2981, 50, 1830
3544, 4231, 3068, 60, 1864
3762, 4271, 3102, 70, 2011
3808, 4358, 3256, 80, 2320
4071, 4392, 3286, 90, 2376
4120, 4654, 3304, 100, 2392
4357, 4699, 3340, 110, 2431
4407, 4707, 3802, 120, 2431
4462, 4794, 3848, 130, 2456
4489, 4796, 3852, 140, 2505
4536, 4801, 3855, 150, 2638
4594, 4808, 3855, 160, 2651
4611, 4808, 3861, 170, 2673
4618, 4811, 3869, 180, 2808
4625, 4812, 4145, 190, 3012
4640, 4812, 4267, 200, 3014
4643, 4818, 4269, 210, 3019
4647, 4822, 4269, 220, 3022
4702, 4824, 4286, 230, 3028
4714, 4824, 4354, 240, 3082
4723, 4828, 4413, 250, 3089
4732, 4908, 4422, 260, 3096
4736, 4908, 4425, 270, 3193
4737, 4911, 4427, 280, 3251
4737, 4911, 4428, 290, 3259
4805, 4916, 4430, 300, 3259
4809, 4918, 4430, 310, 3468
4809, 4918, 4430, 320, 3629
4809, 4924, 4431, 330, 3664
4809, 4928, 4452, 340, 3674
4812, 4930, 4462, 350, 3675
4818, 4930, 4507, 360, 3694
4823, 4931, 4508, 370, 3697
4826, 4931, 4520, 380, 3756
4833, 4931, 4545, 390, 3856
4833, 4950, 4546, 400, 3887
4846, 4951, 4548, 410, 3906
4846, 4951, 4562, 420, 3952
4848, 4952, 4592, 430, 4105
4851, 4952, 4614, 440, 4191
4851, 4952, 4636, 450, 4204
4855, 4952, 4690, 460, 4210
4856, 4953, 4696, 470, 4235
4857, 4953, 4706, 480, 4291
4857, 4953, 4716, 490, 4350
979, 3636, 806, 10, 585
2027, 3759, 1520, 20, 768
2331, 3787, 2886, 30, 1665
2899, 3924, 3448, 40, 1739
3368, 4152, 3477, 50, 1798
3574, 4232, 3483, 60, 1851
4055, 4272, 3488, 70, 1999
4204, 4357, 3493, 80, 2320
4252, 4391, 3496, 90, 2373
4318, 4653, 3538, 100, 2391
4527, 4697, 3554, 110, 2422
4541, 4705, 3562, 120, 2428
4576, 4793, 3977, 130, 2480
4587, 4795, 3978, 140, 2503
4629, 4800, 3980, 150, 2641
4726, 4807, 3981, 160, 2650
4733, 4807, 4111, 170, 2698
4737, 4810, 4339, 180, 3010
4754, 4811, 4355, 190, 3010
4757, 4811, 4419, 200, 3011
4778, 4817, 4454, 210, 3012
4787, 4821, 4459, 220, 3020
4796, 4823, 4495, 230, 3076
4812, 4823, 4505, 240, 3082
4825, 4827, 4506, 250, 3089
4856, 4906, 4506, 260, 3097
4862, 4907, 4552, 270, 3193
4863, 4910, 4552, 280, 3251
4864, 4910, 4562, 290, 3259
4872, 4915, 4677, 300, 3259
4879, 4917, 4685, 310, 3609
4879, 4917, 4685, 320, 3663
4880, 4923, 4688, 330, 3669
4882, 4927, 4688, 340, 3674
4883, 4929, 4688, 350, 3678
4884, 4929, 4713, 360, 3694
4894, 4930, 4717, 370, 3697
4897, 4930, 4719, 380, 3856
4905, 4930, 4721, 390, 3857
4909, 4949, 4758, 400, 3887
4914, 4950, 4761, 410, 3906
4914, 4950, 4772, 420, 3952
4914, 4951, 4772, 430, 4105
4914, 4951, 4773, 440, 4191
4947, 4951, 4787, 450, 4204
4948, 4951, 4842, 460, 4210
4964, 4952, 4916, 470, 4235
4964, 4952, 4916, 480, 4291
4964, 4952, 4917, 490, 4350
1384, 3535, 1237, 10, 1479
2324, 3835, 1456, 20, 1687
3250, 3862, 1631, 30, 2168
3507, 3993, 2381, 40, 2268
3844, 4143, 3170, 50, 2276
4098, 4223, 3546, 60, 2280
4282, 4263, 3894, 70, 2293
4361, 4351, 4074, 80, 2311
4438, 4387, 4129, 90, 2506
4494, 4651, 4209, 100, 2533
4503, 4695, 4419, 110, 2549
4572, 4703, 4430, 120, 2556
4589, 4793, 4433, 130, 2571
4599, 4795, 4438, 140, 2579
4633, 4800, 4442, 150, 2589
4651, 4807, 4447, 160, 2599
4666, 4807, 4456, 170, 2921
4743, 4810, 4459, 180, 3009
4752, 4811, 4468, 190, 3011
4753, 4812, 4473, 200, 3011
4758, 4817, 4523, 210, 3012
4763, 4821, 4540, 220, 3017
4764, 4823, 4542, 230, 3071
4765, 4823, 4545, 240, 3082
4771, 4830, 4552, 250, 3090
4786, 4907, 4556, 260, 3096
